CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:21:37.557;5.0;1:45.046;20.960;51.352;32.734;143,320
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:31:16.198;6.0;7:38.893;;55.081;34.012;32,808
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:33:01.917;7.0;1:45.719;20.920;51.841;32.958;142,408
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:34:46.698;8.0;1:44.781;20.621;51.331;32.829;143,683
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:36:31.623;9.0;1:44.925;20.635;51.143;33.147;143,485
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:38:16.443;10.0;1:44.820;20.794;51.108;32.918;143,629
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:40:01.174;11.0;1:44.731;20.872;50.921;32.938;143,751
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:52:22.284;12.0;10:19.317;;54.027;34.444;24,309
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;13:54:40.667;13.0;2:18.383;21.039;59.582;;108,794
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;14:01:23.801;14.0;6:43.134;;53.083;33.965;37,345
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;33 - William Araujo - CHA R;14:03:33.849;15.0;2:10.048;20.918;1:15.876;33.254;115,766
